product,vendor,pack_size,nominal_lbs,actual_lbs_per_case,actual_over_nominal,price_per_lb,case_price,weight_source,total_spend
EGG WHI LG AA LOOSE,PFG,1/30 DZ,,49.933,,1.04,51.93,invoice_catch_weight,51.93
"Water, Purified Plastic Bottle Twist Cap Shelf Stable",US Foods,24/16.9 OZ,25.35,27.6335,1.09,0.34,9.23,invoice_catch_weight,50.68
OREGANO LEAVES,PFG,1/24 OZ,1.5,1.83,1.22,13.34,24.41,invoice_catch_weight,48.82
"Cheese, Cheddar White Sharp Print Vacuum-Pack Ref",US Foods,10 LBA,10.0,10.461,1.046,4.6,48.12,invoice_catch_weight,48.12
"Plate, 9"" Molded Fiber Round Natural Compostable No Pfas Added Paper",US Foods,4/125 EA,,16.556,,2.79,46.19,invoice_catch_weight,46.19
"Celery, Stalk Fresh Ref Box",US Foods,6 EA,,6.997,,3.37,23.58,invoice_catch_weight,45.54
"Cream, Whipping Heavy 40% Butterfat Uht Dairy Carton Gable Top Ref",US Foods,12/1 QT,25.032,25.041,1.0,1.71,42.82,invoice_catch_weight,42.82
CONT PP 16 OZ COMBO DELI NAT,PFG,6/40 CT,,16.454,,2.6,42.78,invoice_catch_weight,42.78
"Towel, Paper 9.5x9 Multifold Brown 1 Ply",US Foods,16/250 EA,,17.548,,2.41,42.29,invoice_catch_weight,42.29
"Cheese, Ricotta Impastata Whole Milk Tub Ref Del Pastaio",US Foods,2/5 LB,10.0,9.993,0.999,4.16,41.57,invoice_catch_weight,41.57
"Juice, Lemon Not-From-Concentrate Plastic Bottle Ref",US Foods,6/32 OZ,12.0,13.493,1.124,3.02,40.75,invoice_catch_weight,40.75
PASTA FUSILLI,PFG,4/5 LB,20.0,21.842,1.092,1.83,39.97,invoice_catch_weight,39.97
"Fork, Mediumweight Black Polystyrene Bulk Plastic",US Foods,1000 EA,,6.827,,5.77,39.39,invoice_catch_weight,39.39
"Vinegar, Balsamic Imported Italy",US Foods,2/5 LT,22.046,21.145,0.959,1.86,39.33,invoice_catch_weight,39.33
HONEY AMBER EXTRA LIGHT,PFG,1/5 LB,5.0,5.3045,1.061,3.35,17.77,invoice_catch_weight,35.54
"Water, Spring Plastic Bottle Special Print",US Foods,24/16.9 OZ,25.35,27.95,1.103,0.24,6.67,invoice_catch_weight,35.26
ONION PWDR,PFG,1/5 LB,5.0,6.002,1.2,5.54,33.25,invoice_catch_weight,33.25
CONT PLAS 24 OZ RND BLK COMBO,PFG,1/150 CT,,15.005,,2.11,31.66,invoice_catch_weight,31.66
"Container, 8 Oz Round 1 Cmpt Polypropylene Deli Clear Carry-Out Plastic",US Foods,10/50 EA,,9.357,,3.22,30.13,invoice_catch_weight,30.13
"Spice, Oregano Leaf Dried Plastic Jug Shelf Stable Seasoning",US Foods,24 OZ,1.5,1.5,1.0,19.46,29.19,invoice_catch_weight,29.19
BASE BEEF NO MSG JAR,PFG,1/1 LB,1.0,6.969,6.969,1.4,9.72,invoice_catch_weight,28.29
ONION RED JUMBO,PFG,1/25 LB,25.0,25.486,1.019,1.09,27.78,invoice_catch_weight,27.78
"Garlic, White Whole Clove Peeled Fresh Ref",US Foods,4/5 LB,20.0,20.016,1.001,5.25,105.08,invoice_catch_weight,26.27
STRAWBERRIES,PFG,8/1 LB,8.0,9.0,1.125,2.88,25.92,invoice_catch_weight,25.92
"Flour, White Bread Unbleached Special Spring",US Foods,50 LB,50.0,49.735,0.995,0.49,24.37,invoice_catch_weight,24.37
"Horseradish, Prepared Ref",US Foods,4/1 GA,33.36,32.044,0.961,2.65,84.92,invoice_catch_weight,21.23
"Cucumber, Large English Seedless Hot House Bulk Fresh Ref",US Foods,12 EA,,4.997,,3.8,18.99,invoice_catch_weight,18.99
WRAP WAX PAPER 15X10.75 WHI,PFG,1/500 CT,,7.008,,1.28,8.97,invoice_catch_weight,17.94
MINT FRSH,PFG,1/1 LB,1.0,1.4,1.4,12.77,17.88,invoice_catch_weight,17.88
